date (D/M/YYYY),station_id,station_name,forecasted_temp,Crop,Temp_Min,Temp_Max,suitability
07/01/2025,91375,Creesy (Brumbys Creek),20.05066666666663,Corn,18,27,1
07/01/2025,91375,Creesy (Brumbys Creek),20.05066666666663,Avocados,20,30,1
07/01/2025,91375,Creesy (Brumbys Creek),20.05066666666663,Berries,10,25,1
07/01/2025,91375,Creesy (Brumbys Creek),20.05066666666663,Tomatoes,18,30,1
07/01/2025,91375,Creesy (Brumbys Creek),20.05066666666663,Capsicums,20,30,1
07/01/2025,91375,Creesy (Brumbys Creek),20.05066666666663,Carrots,16,24,1
07/01/2025,91375,Creesy (Brumbys Creek),20.05066666666663,Potatoes,15,20,0
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Wheat,15,25,1
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Cotton,20,35,0
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Grapes,15,30,1
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Corn,18,27,1
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Avocados,20,30,0
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Berries,10,25,1
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Tomatoes,18,30,1
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Capsicums,20,30,0
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Carrots,16,24,1
08/01/2025,91375,Creesy (Brumbys Creek),18.29733333333332,Potatoes,15,20,1
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Wheat,15,25,1
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Cotton,20,35,0
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Grapes,15,30,1
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Corn,18,27,1
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Avocados,20,30,0
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Berries,10,25,1
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Tomatoes,18,30,1
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Capsicums,20,30,0
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Carrots,16,24,1
09/01/2025,91375,Creesy (Brumbys Creek),19.17066666666663,Potatoes,15,20,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Wheat,15,25,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Cotton,20,35,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Grapes,15,30,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Corn,18,27,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Avocados,20,30,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Berries,10,25,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Tomatoes,18,30,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Capsicums,20,30,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Carrots,16,24,1
10/01/2025,91375,Creesy (Brumbys Creek),20.03566666666664,Potatoes,15,20,0
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Wheat,15,25,1
